division_index time_step divided_cell_index divided_cell_IsEpidermal division_axisTheta divided_cell_x divided_cell_y cell_division_count av_in_frequency_modifier av_epi_frequency_modifier 
98 7100000 127 0 0.915497 -1.92936 19.0625 7 1.07673e+15 2.19353e+17
99 7100000 137 1 1.37427 2.45665 20.9246 4 1.07673e+15 2.15291e+17
100 7200000 132 1 1.39623 -0.85854 21.0641 5 1.20751e+15 2.19344e+17
101 7200000 134 0 1.99206 4.82726 18.7504 6 1.19622e+15 2.19344e+17
102 7300000 112 1 1.09678 5.00231 20.6516 4 1.20375e+15 2.15682e+17
103 7400000 84 0 0.400832 2.92439 19.5841 6 1.1602e+15 2.10784e+17
104 7500000 139 0 0.463763 1.19263 19.3807 7 1.17543e+15 2.10977e+17
105 7500000 148 0 0.322376 -0.156511 19.2573 7 1.16475e+15 2.10977e+17
106 7800000 127 0 0.00814195 -1.98632 19.3125 8 1.24022e+15 2.12196e+17
107 8200000 146 0 2.15533 -4.7105 16.1584 6 1.30413e+15 2.2095e+17
108 8300000 158 0 1.12499 -3.17817 20.5024 8 1.31943e+15 2.32506e+17
109 8400000 84 0 2.78132 3.17812 20.4985 7 1.33279e+15 2.32774e+17
110 8400000 147 1 -0.850796 -7.56122 19.7452 4 1.33279e+15 2.2869e+17
111 8600000 143 0 2.55524 -5.85915 19.0337 7 1.4361e+15 2.42361e+17
112 8600000 148 0 2.8966 -0.145524 18.8153 8 1.42372e+15 2.42361e+17
113 8700000 139 0 0.893476 1.78303 21.018 8 1.56976e+15 2.64464e+17
114 8800000 159 1 1.43384 2.81165 22.9294 5 1.60398e+15 2.57507e+17
115 8800000 160 1 1.56056 -2.13808 23.0422 6 1.60398e+15 2.53143e+17
116 8900000 155 0 0.9294 -3.90357 18.4208 7 1.62074e+15 2.57257e+17
117 9000000 161 0 0.905425 5.27697 19.1364 7 1.57083e+15 2.47867e+17
118 9000000 164 0 1.16865 1.49759 18.6469 8 1.55774e+15 2.47867e+17
119 9100000 80 1 0.971099 8.62358 19.827 3 1.56691e+15 2.33844e+17
120 9100000 112 1 0.851595 7.21214 20.5583 5 1.56691e+15 2.3001e+17
121 9100000 166 0 1.70652 -1.8444 21.6964 9 1.55396e+15 2.3001e+17
122 9200000 127 0 2.21679 -2.07871 18.9863 9 1.55629e+15 2.21566e+17
123 9500000 139 0 2.87905 2.24092 21.3141 9 1.63493e+15 2.3108e+17
124 9600000 158 0 0.862635 -3.73635 20.2424 9 1.63404e+15 2.33213e+17
125 9700000 163 0 3.05819 4.36147 18.6129 7 1.6182e+15 2.29932e+17
126 9800000 148 0 0.93919 -0.0502185 20.6786 9 1.66002e+15 2.28991e+17
127 9900000 173 0 2.32977 1.0973 22.5382 9 1.70734e+15 2.29429e+17
128 10000000 132 1 -1.43828 -1.38317 25.0323 6 1.8178e+15 2.31268e+17
129 10100000 165 0 1.27496 -0.299807 23.6797 8 1.89825e+15 2.38665e+17
130 10300000 175 1 -1.30886 -4.69822 23.7867 7 1.90941e+15 2.36287e+17
131 10400000 182 0 1.92856 -1.95716 20.4196 10 1.93234e+15 2.41781e+17
132 10500000 181 0 0.545651 -3.64844 22.38 10 1.93909e+15 2.46368e+17
133 10700000 139 0 0.836319 3.39263 22.7312 10 1.94545e+15 2.47173e+17
134 10700000 169 0 0.828151 4.03448 20.7675 8 1.93072e+15 2.47173e+17
135 10800000 84 0 1.19274 5.35947 22.465 8 2.04947e+15 2.46212e+17
136 10800000 162 1 0.754436 7.21167 22.8776 5 2.04947e+15 2.42365e+17
137 10800000 166 0 2.08168 -2.32797 22.8204 10 2.03418e+15 2.42365e+17
138 11000000 159 1 1.16505 4.49337 25.349 6 2.16483e+15 2.43161e+17
139 11000000 183 0 3.06144 2.41279 20.6312 10 2.1488e+15 2.43161e+17
140 11100000 160 1 -1.26239 -3.72648 24.9425 7 2.23739e+15 2.40886e+17
141 11100000 187 0 2.79133 1.51653 23.1545 10 2.22094e+15 2.40886e+17
142 11300000 186 0 0.127012 0.463263 20.618 10 2.33069e+15 2.50195e+17
143 11600000 158 0 3.12963 -5.48227 21.2572 10 2.41516e+15 2.5306e+17
144 11700000 177 0 2.79452 6.73557 20.5598 8 2.44203e+15 2.59241e+17
145 11700000 191 0 0.263073 -1.345 21.4025 11 2.42458e+15 2.59241e+17
146 11800000 180 1 0.629433 8.74099 20.9132 6 2.49606e+15 2.53598e+17
147 11900000 148 0 1.67062 -0.585513 23.5979 10 2.46193e+15 2.44372e+17
148 12100000 197 0 0.269589 -3.54824 23.3835 11 2.49645e+15 2.49062e+17
149 12200000 166 0 0.490335 -2.52692 24.6027 11 2.50167e+15 2.50413e+17
150 12200000 190 1 -0.821683 -7.24157 24.198 8 2.50167e+15 2.4673e+17
